TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
StackMethods,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9984939759036144,136,135
StackMethods,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9984939759036144,136,132
